"Response.No","Tab.No","Survey.Date","Survey Start Date","Survey End Date","AC Name","Mandal Name","Village Name","no_data_flag"
12661,1,2015-06-05,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
12877,1,2015-06-14,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
13345,1,2015-07-04,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
15211,1,2015-06-23,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
15219,1,2015-07-09,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
15636,1,2015-07-08,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
15937,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
17187,1,2015-06-05,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
18805,1,2015-06-28,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
20242,1,2015-06-04,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
21316,1,2015-06-04,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
21828,1,2015-07-23,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
22262,1,2015-07-12,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
23220,1,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
23356,1,2015-07-22,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
23460,1,2015-06-15,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
24094,1,2015-06-29,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
24103,1,2015-06-30,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
24520,1,2015-07-05,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
25107,1,2015-07-12,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
26057,1,2015-06-11,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
26299,1,2015-07-11,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
26471,1,2015-07-08,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
26681,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
26682,1,2015-07-10,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
26744,1,2015-05-31,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
27001,1,2015-06-24,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
28056,1,2015-06-04,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
28219,1,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
28238,1,2015-07-11,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
28605,1,2015-07-13,"2015-06-29","2015-07-13","Nandigama","Chanderlapadu","Thurlapadu",0
28795,1,2015-06-05,"2015-05-30","2015-06-07","Nandigama","Chanderlapadu","Kasarabada",0
29370,1,2015-06-28,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
7455,2,2015-05-25,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
12454,2,2015-06-02,"2015-05-30","2015-06-08","Nandigama","Chanderlapadu","Kandrapadu",0
18568,2,2015-05-24,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
28329,2,2015-06-03,"2015-05-30","2015-06-08","Nandigama","Chanderlapadu","Kandrapadu",0
28661,2,2015-05-31,"2015-05-30","2015-06-08","Nandigama","Chanderlapadu","Kandrapadu",0
2861,3,2015-07-02,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
2861,3,2015-07-02,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
2865,3,2015-07-06,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
6370,3,2015-06-30,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
6490,3,2015-07-06,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
10559,3,2015-07-03,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
10559,3,2015-07-03,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
13258,3,2015-07-01,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
15358,3,2015-07-03,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
15358,3,2015-07-03,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
15791,3,2015-07-06,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
17037,3,2015-07-07,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
17361,3,2015-06-30,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
17686,3,2015-07-23,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
18683,3,2015-07-01,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
20407,3,2015-06-26,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
26661,3,2015-07-07,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
27535,3,2015-06-30,"2015-06-26","2015-07-03","Nandigama","Chanderlapadu","Bobbillapadu",0
29332,3,2015-07-06,"2015-07-02","2015-07-13","Nandigama","Chanderlapadu","Muppalla",0
1734,4,2015-06-05,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
5100,4,2015-06-04,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
13135,4,2015-06-11,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
14380,4,2015-06-13,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
14885,4,2015-06-02,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
15614,4,2015-06-11,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
16622,4,2015-06-03,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
17730,4,2015-06-13,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
19925,4,2015-06-15,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
20106,4,2015-06-13,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
20928,4,2015-06-22,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
21847,4,2015-06-04,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
23790,4,2015-06-04,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
26168,4,2015-06-24,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
27660,4,2015-06-15,"2015-06-09","2015-06-28","Nandigama","Chanderlapadu","Kodavatikallu",0
303,5,2015-07-18,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
565,5,2015-06-16,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
2446,5,2015-05-31,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
3243,5,2015-07-01,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
3430,5,2015-06-18,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
3504,5,2015-06-12,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
4255,5,2015-07-22,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
4290,5,2015-07-11,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
4490,5,2015-06-11,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
4491,5,2015-07-17,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
4543,5,2015-07-09,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
5214,5,2015-06-14,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
5249,5,2015-05-26,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
5415,5,2015-06-12,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
5751,5,2015-06-09,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
6111,5,2015-07-17,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
6410,5,2015-07-24,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
6783,5,2015-07-24,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
7015,5,2015-05-31,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
7075,5,2015-07-02,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
7430,5,2015-07-08,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
7666,5,2015-06-02,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
7767,5,2015-05-24,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
7977,5,2015-07-09,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
8471,5,2015-07-02,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
8777,5,2015-06-27,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
9187,5,2015-07-22,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
9364,5,2015-07-03,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
10044,5,2015-06-12,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
10050,5,2015-07-04,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
10409,5,2015-06-27,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
10622,5,2015-07-02,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
10733,5,2015-07-12,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
12244,5,2015-06-19,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
12932,5,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
13458,5,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
14318,5,2015-07-09,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
14706,5,2015-07-07,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
14996,5,2015-05-28,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
15082,5,2015-06-07,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
15455,5,2015-06-13,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
16675,5,2015-06-28,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
16837,5,2015-06-30,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
17248,5,2015-06-16,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
17291,5,2015-07-10,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
17931,5,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
17955,5,2015-07-12,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
17974,5,2015-07-19,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
18000,5,2015-07-13,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
18402,5,2015-05-30,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
19387,5,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
19845,5,2015-06-05,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
20233,5,2015-07-11,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
20559,5,2015-07-10,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
20576,5,2015-07-22,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
21210,5,2015-05-28,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
21504,5,2015-05-30,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
21669,5,2015-06-03,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
21704,5,2015-06-06,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
21799,5,2015-06-10,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
21810,5,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
22065,5,2015-07-08,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
22179,5,2015-07-20,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
22699,5,2015-07-21,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
23729,5,2015-07-19,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
23730,5,2015-06-15,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
24576,5,2015-06-29,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
24716,5,2015-05-25,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
24811,5,2015-06-11,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
25032,5,2015-07-11,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
26322,5,2015-05-24,"2015-05-23","2015-05-27","Nandigama","Chanderlapadu","Popuru",0
26614,5,2015-07-02,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
26786,5,2015-07-01,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
27597,5,2015-06-05,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
28030,5,2015-07-10,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
28270,5,2015-07-02,"2015-06-26","2015-07-05","Nandigama","Chanderlapadu","Veladi Kothapalem",0
29142,5,2015-07-12,"2015-07-06","2015-07-13","Nandigama","Chanderlapadu","Konayapalem",0
29468,5,2015-06-10,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
29648,5,2015-06-02,"2015-05-30","2015-06-04","Nandigama","Chanderlapadu","Vibhareethalapadu",0
29854,5,2015-07-18,"2015-07-14","2015-07-25","Nandigama","Chanderlapadu","Chanderlapadu",0
29875,5,2015-06-06,"2015-06-05","2015-06-24","Nandigama","Chanderlapadu","Chinthalapadu",0
500,6,2015-07-13,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
1050,6,2015-06-23,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
1228,6,2015-06-22,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
2124,6,2015-07-09,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
2135,6,2015-07-06,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
2214,6,2015-06-22,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
2421,6,2015-05-31,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
2808,6,2015-06-12,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
3742,6,2015-06-23,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
4833,6,2015-07-09,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
5055,6,2015-06-22,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
6292,6,2015-07-13,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
7831,6,2015-07-11,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
8118,6,2015-06-16,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
9513,6,2015-06-13,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
9888,6,2015-07-03,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
10292,6,2015-06-05,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
11266,6,2015-07-12,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
11440,6,2015-07-11,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
11443,6,2015-06-13,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
11508,6,2015-06-16,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
11784,6,2015-07-12,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
12050,6,2015-07-07,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
13244,6,2015-06-10,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
14242,6,2015-06-05,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
14775,6,2015-07-09,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
15085,6,2015-07-05,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
15274,6,2015-06-24,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
16769,6,2015-06-04,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
16903,6,2015-07-06,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
17325,6,2015-06-13,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
18833,6,2015-06-13,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
18897,6,2015-06-11,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
19630,6,2015-06-08,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
21650,6,2015-06-10,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
24378,6,2015-06-15,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
25075,6,2015-07-09,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
25172,6,2015-06-11,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
25772,6,2015-07-05,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
26020,6,2015-07-03,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
28136,6,2015-06-08,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
28674,6,2015-06-08,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
28768,6,2015-07-05,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
28827,6,2015-06-24,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
29548,6,2015-07-11,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
29879,6,2015-06-07,"2015-06-01","2015-06-23","Tiruvuru","Vissannapeta","Narasapuram",0
572,7,2015-07-04,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
1416,7,2015-06-26,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
2097,7,2015-07-02,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
2209,7,2015-05-30,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
2322,7,2015-06-01,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
2366,7,2015-06-19,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
2943,7,2015-06-19,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
3467,7,2015-06-07,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
3467,7,2015-06-07,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
3554,7,2015-05-28,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
3635,7,2015-05-31,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
3750,7,2015-07-20,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
3921,7,2015-06-08,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
3921,7,2015-06-08,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
3965,7,2015-06-12,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
3965,7,2015-06-12,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
6101,7,2015-07-20,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
6824,7,2015-07-20,"Not mapped","Not mapped","Not mapped","Not mapped","Not mapped",1
8064,7,2015-06-02,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
8947,7,2015-06-03,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
9263,7,2015-06-04,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
9574,7,2015-05-29,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
9890,7,2015-06-11,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
9890,7,2015-06-11,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
9891,7,2015-06-05,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
9928,7,2015-06-03,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
10292,7,2015-05-26,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
11563,7,2015-06-05,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
12375,7,2015-06-05,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
12836,7,2015-06-19,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
13531,7,2015-06-24,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
13644,7,2015-07-04,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
13747,7,2015-06-04,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
13987,7,2015-05-28,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
16281,7,2015-05-31,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
16858,7,2015-05-29,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
18012,7,2015-07-02,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
18472,7,2015-06-10,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
18472,7,2015-06-10,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
18917,7,2015-05-28,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
19314,7,2015-07-02,"2015-06-30","2015-07-13","Tiruvuru","Vissannapeta","Vissannapeta",0
19744,7,2015-06-07,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
19744,7,2015-06-07,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
20000,7,2015-05-31,"2015-05-23","2015-06-14","Tiruvuru","Vissannapeta","Vemireddipalli",0
20004,7,2015-06-17,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
20136,7,2015-06-26,"2015-06-06","2015-06-29","Tiruvuru","Vissannapeta","Putrela",0
